Size,Alg,Time(ms),Comparisons
100,stdQuickSort,0.015533,358
100,stdMergeSort,0.0477664,597
100,strQuickSort,0.03825,992
100,strMergeSort,0.182858,1037
100,radixSort,0.148625,490
100,radixQuickSort,0.0603166,1058
200,stdQuickSort,0.0303166,680
200,stdMergeSort,0.0894668,1157
200,strQuickSort,0.0811584,2163
200,strMergeSort,0.41285,2271
200,radixSort,0.272842,970
200,radixQuickSort,0.100483,2132
300,stdQuickSort,0.0481582,1017
300,stdMergeSort,0.189075,2100
300,strQuickSort,0.242567,3644
300,strMergeSort,1.37558,3657
300,radixSort,0.504425,1464
300,radixQuickSort,0.223908,3229
400,stdQuickSort,0.766467,7411
400,stdMergeSort,0.332408,3336
400,strQuickSort,0.239042,5348
400,strMergeSort,1.5659,6010
400,radixSort,0.843733,1948
400,radixQuickSort,0.246542,4375
500,stdQuickSort,1.14168,8525
500,stdMergeSort,0.542825,4136
500,strQuickSort,0.358142,7349
500,strMergeSort,1.38233,7285
500,radixSort,0.868017,2408
500,radixQuickSort,0.305975,5444
600,stdQuickSort,0.352233,5136
600,stdMergeSort,0.466033,4451
600,strQuickSort,0.467958,9544
600,strMergeSort,2.06846,8379
600,radixSort,1.08102,2914
600,radixQuickSort,0.57785,6547
700,stdQuickSort,1.62133,9023
700,stdMergeSort,1.52319,5486
700,strQuickSort,0.635625,12039
700,strMergeSort,2.13545,10659
700,radixSort,1.1812,3408
700,radixQuickSort,2.93886,7669
800,stdQuickSort,1.10023,14924
800,stdMergeSort,0.691608,6862
800,strQuickSort,0.733891,14838
800,strMergeSort,3.14292,13417
800,radixSort,2.08828,3904
800,radixQuickSort,0.654783,8765
900,stdQuickSort,1.35062,17623
900,stdMergeSort,0.920784,7305
900,strQuickSort,0.919625,18055
900,strMergeSort,3.03328,14208
900,radixSort,2.08107,4392
900,radixQuickSort,0.66255,9821
1000,stdQuickSort,1.58391,20760
1000,stdMergeSort,1.36876,8401
1000,strQuickSort,1.18721,21071
1000,strMergeSort,3.32143,16299
1000,radixSort,1.79364,4842
1000,radixQuickSort,0.62335,11048
1100,stdQuickSort,1.28963,16358
1100,stdMergeSort,1.12577,10459
1100,strQuickSort,1.44211,25226
1100,strMergeSort,4.30089,19204
1100,radixSort,2.16474,5340
1100,radixQuickSort,0.692767,12104
1200,stdQuickSort,1.76652,25884
1200,stdMergeSort,1.5125,11105
1200,strQuickSort,1.46028,28914
1200,strMergeSort,4.42767,20141
1200,radixSort,2.22298,5810
1200,radixQuickSort,0.80835,13404
1300,stdQuickSort,1.90972,24351
1300,stdMergeSort,1.39771,12727
1300,strQuickSort,1.86966,32641
1300,strMergeSort,4.90025,23238
1300,radixSort,2.45228,6256
1300,radixQuickSort,0.883467,14339
1400,stdQuickSort,1.76888,23769
1400,stdMergeSort,1.61169,13238
1400,strQuickSort,1.90667,37449
1400,strMergeSort,5.46672,24064
1400,radixSort,2.62317,6728
1400,radixQuickSort,1.16269,15418
1500,stdQuickSort,2.13637,28665
1500,stdMergeSort,1.78279,14751
1500,strQuickSort,2.53401,42310
1500,strMergeSort,5.82967,26692
1500,radixSort,2.80186,7230
1500,radixQuickSort,1.00631,16607
1600,stdQuickSort,1.50278,18346
1600,stdMergeSort,1.72526,15452
1600,strQuickSort,2.59441,48450
1600,strMergeSort,5.93195,28052
1600,radixSort,3.03423,7718
1600,radixQuickSort,1.13272,17684
1700,stdQuickSort,2.43398,34676
1700,stdMergeSort,1.8364,16573
1700,strQuickSort,2.76067,52524
1700,strMergeSort,6.14309,30644
1700,radixSort,3.13506,8186
1700,radixQuickSort,1.1452,18753
1800,stdQuickSort,3.20441,42009
1800,stdMergeSort,1.95183,17149
1800,strQuickSort,3.07406,57485
1800,strMergeSort,6.21302,31398
1800,radixSort,3.28472,8662
1800,radixQuickSort,1.16572,19941
1900,stdQuickSort,3.37128,45985
1900,stdMergeSort,2.09527,18584
