Size,Alg,Time(ms),Comparisons
100,stdQuickSort,0.0630752,766
100,stdMergeSort,0.0881248,606
100,strQuickSort,0.0356336,838
100,strMergeSort,0.209283,1151
100,radixSort,0.179558,350
100,radixQuickSort,0.0241834,382
200,stdQuickSort,0.175975,2030
200,stdMergeSort,0.167066,1546
200,strQuickSort,0.0821086,1787
200,strMergeSort,0.535167,2791
200,radixSort,0.385375,780
200,radixQuickSort,0.0633916,946
300,stdQuickSort,0.30185,3386
300,stdMergeSort,0.275434,2529
300,strQuickSort,0.141017,3153
300,strMergeSort,1.00403,4661
300,radixSort,0.625216,1216
300,radixQuickSort,0.371708,1512
400,stdQuickSort,1.0881,4789
400,stdMergeSort,1.16968,3657
400,strQuickSort,0.556816,4356
400,strMergeSort,2.39804,6596
400,radixSort,0.777625,1680
400,radixQuickSort,0.129642,2242
500,stdQuickSort,0.866959,6186
500,stdMergeSort,0.926783,4864
500,strQuickSort,0.382467,6067
500,strMergeSort,2.40672,8678
500,radixSort,0.968425,2064
500,radixQuickSort,0.211842,2992
600,stdQuickSort,0.72075,7936
600,stdMergeSort,0.71385,6172
600,strQuickSort,0.373717,7149
600,strMergeSort,2.33782,10941
600,radixSort,0.92845,2526
600,radixQuickSort,0.242375,3683
700,stdQuickSort,2.32022,9771
700,stdMergeSort,1.35537,7553
700,strQuickSort,0.584966,8167
700,strMergeSort,2.73772,13133
700,radixSort,1.76768,2962
700,radixQuickSort,0.72135,4507
800,stdQuickSort,1.0798,11425
800,stdMergeSort,1.05986,8991
800,strQuickSort,0.414217,8534
800,strMergeSort,3.72235,15451
800,radixSort,1.11771,3388
800,radixQuickSort,0.3573,5373
900,stdQuickSort,1.59462,13048
900,stdMergeSort,1.31254,10437
900,strQuickSort,0.802533,11564
900,strMergeSort,3.98844,17847
900,radixSort,1.70027,3888
900,radixQuickSort,0.386567,6156
1000,stdQuickSort,1.50673,15182
1000,stdMergeSort,1.33877,12033
1000,strQuickSort,0.696683,11509
1000,strMergeSort,3.91966,20311
1000,radixSort,1.73246,4296
1000,radixQuickSort,0.569925,7005
1100,stdQuickSort,1.47346,17159
1100,stdMergeSort,1.41549,13322
1100,strQuickSort,0.736558,13268
1100,strMergeSort,4.26244,22811
1100,radixSort,2.52015,4808
1100,radixQuickSort,0.471617,7722
1200,stdQuickSort,1.58772,19300
1200,stdMergeSort,1.76618,14546
1200,strQuickSort,1.02259,16375
1200,strMergeSort,5.42202,25343
1200,radixSort,1.76641,5266
1200,radixQuickSort,0.524617,8580
1300,stdQuickSort,1.88687,21144
1300,stdMergeSort,1.82399,16007
1300,strQuickSort,0.876009,14941
1300,strMergeSort,5.48829,27872
1300,radixSort,1.90392,5692
1300,radixQuickSort,0.637483,9573
1400,stdQuickSort,1.99558,22755
1400,stdMergeSort,2.04368,17561
