Size,Alg,Time(ms),Comparisons
100,stdQuickSort,0.0250416,520
100,stdMergeSort,0.0556832,686
100,strQuickSort,0.0531414,1421
100,strMergeSort,0.179475,909
100,radixSort,0.130792,474
100,radixQuickSort,0.0737664,1776
200,stdQuickSort,0.054325,974
200,stdMergeSort,0.146525,1888
200,strQuickSort,0.110142,2895
200,strMergeSort,0.41645,2038
200,radixSort,0.279508,962
200,radixQuickSort,0.154425,3853
300,stdQuickSort,0.240758,1403
300,stdMergeSort,0.42805,2340
300,strQuickSort,0.2373,5739
300,strMergeSort,0.984575,3276
300,radixSort,0.888033,1440
300,radixQuickSort,0.250742,5946
400,stdQuickSort,0.105958,1832
400,stdMergeSort,0.319892,3190
400,strQuickSort,0.349125,7645
400,strMergeSort,1.31198,4478
400,radixSort,1.33011,1932
400,radixQuickSort,0.852858,7785
500,stdQuickSort,0.1643,2237
500,stdMergeSort,0.939783,4275
500,strQuickSort,0.577967,10503
500,strMergeSort,2.46041,5962
500,radixSort,1.25763,2420
500,radixQuickSort,1.89903,10008
600,stdQuickSort,0.171192,2675
600,stdMergeSort,0.570467,5607
600,strQuickSort,0.608475,12554
600,strMergeSort,1.88947,7110
600,radixSort,1.13937,2920
600,radixQuickSort,1.52428,11891
700,stdQuickSort,0.216583,3103
700,stdMergeSort,1.25639,6944
700,strQuickSort,3.47725,15544
700,strMergeSort,4.75413,8367
700,radixSort,1.67009,3406
700,radixQuickSort,1.89604,14141
800,stdQuickSort,0.381908,3516
800,stdMergeSort,1.59085,8388
800,strQuickSort,0.945617,19393
800,strMergeSort,3.13717,9770
800,radixSort,1.41709,3882
800,radixQuickSort,0.831825,16021
900,stdQuickSort,0.263558,3913
900,stdMergeSort,1.16636,9974
900,strQuickSort,1.51452,23108
900,strMergeSort,3.32869,11267
900,radixSort,2.11238,4360
900,radixQuickSort,1.10287,17911
1000,stdQuickSort,0.2814,4334
1000,stdMergeSort,1.30326,11762
1000,strQuickSort,1.83144,26882
1000,strMergeSort,3.37593,12888
1000,radixSort,2.17808,4846
1000,radixQuickSort,1.10581,20026
1100,stdQuickSort,0.301934,4752
1100,stdMergeSort,1.14473,10930
1100,strQuickSort,1.47842,29963
1100,strMergeSort,3.80081,14160
1100,radixSort,2.00637,5328
1100,radixQuickSort,1.78831,22325
1200,stdQuickSort,0.335608,5201
1200,stdMergeSort,1.373,10455
1200,strQuickSort,1.74955,34740
1200,strMergeSort,4.15648,15399
1200,radixSort,2.34762,5802
1200,radixQuickSort,1.33829,24538
1300,stdQuickSort,0.367133,5603
1300,stdMergeSort,1.3577,11414
1300,strQuickSort,2.05809,39165
1300,strMergeSort,4.76143,16788
1300,radixSort,2.68502,6280
1300,radixQuickSort,1.40097,26588
1400,stdQuickSort,0.383158,6037
1400,stdMergeSort,1.52485,12420
1400,strQuickSort,2.49616,44515
1400,strMergeSort,5.23247,18157
1400,radixSort,3.03562,6746
1400,radixQuickSort,1.56415,28644
1500,stdQuickSort,0.452175,6449
1500,stdMergeSort,1.73142,13208
1500,strQuickSort,2.49319,49214
1500,strMergeSort,5.33043,19668
1500,radixSort,2.95598,7222
1500,radixQuickSort,1.62428,30590
1600,stdQuickSort,0.472875,6875
1600,stdMergeSort,1.69151,14493
1600,strQuickSort,3.03597,55141
1600,strMergeSort,5.65089,21256
1600,radixSort,3.35385,7728
1600,radixQuickSort,1.74374,32875
1700,stdQuickSort,0.475633,7284
1700,stdMergeSort,1.80803,15802
1700,strQuickSort,3.15955,60197
1700,strMergeSort,5.78742,22670
1700,radixSort,3.17996,8202
1700,radixQuickSort,1.83788,34790
1800,stdQuickSort,0.532,7690
1800,stdMergeSort,2.12719,16982
1800,strQuickSort,3.62681,66812
1800,strMergeSort,6.31209,24403
1800,radixSort,3.49426,8656
1800,radixQuickSort,2.15586,37077
1900,stdQuickSort,0.563175,8085
1900,stdMergeSort,2.07519,18051
1900,strQuickSort,3.77624,72843
1900,strMergeSort,6.53402,25973
1900,radixSort,3.65087,9128
1900,radixQuickSort,2.12979,39149
2000,stdQuickSort,0.5577,8541
2000,stdMergeSort,2.37977,19162
2000,strQuickSort,5.30843,79088
2000,strMergeSort,6.51437,27819
2000,radixSort,3.76593,9626
2000,radixQuickSort,2.24394,41556
2100,stdQuickSort,0.615567,8962
2100,stdMergeSort,2.22975,20471
2100,strQuickSort,4.54402,85600
2100,strMergeSort,7.82142,29351
2100,radixSort,3.88414,10080
2100,radixQuickSort,2.36181,43842
2200,stdQuickSort,0.620492,9361
2200,stdMergeSort,2.51466,22064
2200,strQuickSort,5.01587,91918
2200,strMergeSort,8.57931,30572
2200,radixSort,4.42551,10558
2200,radixQuickSort,3.23811,46234
2300,stdQuickSort,0.686283,9792
2300,stdMergeSort,2.9151,23508
2300,strQuickSort,5.65867,98683
2300,strMergeSort,9.0593,32044
2300,radixSort,4.38737,11058
2300,radixQuickSort,2.61738,48337
2400,stdQuickSort,0.7816,10231
2400,stdMergeSort,2.69186,24845
2400,strQuickSort,5.86907,107212
2400,strMergeSort,10.5125,33239
2400,radixSort,4.5351,11560
2400,radixQuickSort,2.71603,50452
2500,stdQuickSort,0.695667,10645
2500,stdMergeSort,2.81026,26037
2500,strQuickSort,6.0518,114113
2500,strMergeSort,12.6243,34753
2500,radixSort,5.34883,12060
2500,radixQuickSort,2.92846,52267
2600,stdQuickSort,0.694642,11061
2600,stdMergeSort,2.98773,27355
2600,strQuickSort,6.18365,123392
2600,strMergeSort,9.69502,36125
2600,radixSort,4.92912,12516
2600,radixQuickSort,2.8352,54457
2700,stdQuickSort,0.728267,11483
2700,stdMergeSort,3.05362,29165
2700,strQuickSort,6.63813,129738
2700,strMergeSort,9.8148,37716
2700,radixSort,5.44907,13012
2700,radixQuickSort,3.88141,56419
2800,stdQuickSort,0.701658,11912
2800,stdMergeSort,2.99088,30646
2800,strQuickSort,6.65526,138756
2800,strMergeSort,9.52115,39211
2800,radixSort,4.89968,13510
2800,radixQuickSort,2.80382,58452
2900,stdQuickSort,0.746317,12316
2900,stdMergeSort,3.30871,32155
2900,strQuickSort,7.19154,146982
2900,strMergeSort,9.77194,40832
2900,radixSort,4.85899,13990
2900,radixQuickSort,2.82887,60536
3000,stdQuickSort,0.7972,12753
3000,stdMergeSort,3.4308,33530
3000,strQuickSort,7.72846,156932
3000,strMergeSort,10.6095,42525
3000,radixSort,5.45538,14480
3000,radixQuickSort,3.21646,62611
